incomparably;nieporównywalnie
steer;sterować
plaything;zabawka
crossing, exceeding;przekroczenie
ticket, fine;mandat
enhancement;ulepszenie
car industry;przemysł samochodowy
messiah;mesjasz
intimidation;zastraszanie
impunity;bezkarność
permeable;przenikalny, przepuszczalny
namesake;o tej samej nazwie
a friend in need is a friend indeed;prawdziwych przyjaciół poznaje się w biedzie
dissolve;rozpuścić
proficient;biegły, wprawny
gripping;porywający
severance;rozwiązanie umowy o pracę
ironmonger;sklep z wyrobami żelaznymi
reprimand;nagana
shade;zacieniać, przesłaniać
bigoted;zajadły
aloof;powściągliwy
transpire;okazywać się
;rodowód, pochodzenie
remuneration;rekompensata
pester;męczyć
impetuous;porywczy
detain;zatrzymywać
condemn;potępiać
renounce;wycofywać się, zrzekać się
;mgła
