incomparably;nieporównywalnie
steer;sterować
plaything;zabawka
crossing, exceeding;przekroczenie
ticket, fine;mandat
enhancement;ulepszenie
car industry;przemysł samochodowy
messiah;mesjasz
intimidation;zastraszanie
impunity;bezkarność
permeable;przenikalny, przepuszczalny

a friend in need is a friend indeed;prawdziwych przyjaciół poznaje się w biedzie
dissolve;rozpuścić
proficient;biegły, wprawny
gripping;porywający

ironmonger;sklep z wyrobami żelaznymi
reprimand;nagana
shade;zacieniać, przesłaniać
bigoted;
aloof;powściągliwy
transpire;okazywać się
lineage;rodowód, pochodzenie
;rekompensata
pester;męczyć
impetuous;porywczy
detain;zatrzymywać
condemn;potępiać
renounce;wycofywać się, zrzekać się
mist;mgła
